,_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked,your_name
52,6161b980425e092516eb7060,4l2tDy6UuOn3E8dR1rhYbx,0.819,0.667,8,-5.985,1,0.0342,0.783,6.4e-06,0.104,0.829,117.911,178293,4,0,honeyd3wy
53,6161b980425e092516eb705a,3fqwjXwUGN6vbzIwvyFMhx,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293,4,0,honeyd3wy
54,6161b980425e092516eb706a,0NYmOkHR8wnbjdLBS2oZq2,0.367,0.403,1,-10.629,1,0.0332,0.522,5.2e-06,0.126,0.57,76.526,236027,4,0,honeyd3wy
55,6161c792f4a68f52a28e0081,2Pp9osgyIcw6o1avfDDDhH,0.592,0.961,4,-1.807,1,0.096,0.0423,0.0,0.0882,0.508,109.826,237077,4,1,honeyd3wy
56,6161b3e6f7207f813e54c7a9,0jS4qKkqJYcWduWv02JFKI,0.75,0.538,5,-4.866,0,0.036,0.123,0.0,0.0937,0.434,87.992,215053,4,1,honeyd3wy
57,6161b980425e092516eb7057,3izNaTiYdotdPL0Bs76JqO,0.652,0.719,1,-7.251,1,0.033,0.0353,0.0,0.108,0.24,94.969,197640,4,0,honeyd3wy
58,6161b3e6f7207f813e54c78b,1JD37Pmj6xJj8dlWHgLG9C,0.668,0.815,11,-2.883,0,0.216,0.281,0.0,0.247,0.885,143.764,203000,4,1,honeyd3wy
59,6161b3e6f7207f813e54c7a7,0QngtucRGPxyaTQ9u47UnN,0.551,0.885,6,-1.489,1,0.124,0.139,0.0,0.114,0.509,172.95,208862,4,1,honeyd3wy
60,6161c792f4a68f52a28e0093,6c1QaQHdDhtFMfUkhueuXK,0.631,0.748,4,-2.569,0,0.0488,0.212,0.0,0.537,0.351,115.665,178413,4,1,honeyd3wy
61,6161b980425e092516eb7040,3nLQCvYLudPrG2q4mxnY2Y,0.622,0.568,2,-8.795,1,0.0311,0.145,1.78e-06,0.108,0.724,148.042,211085,4,0,honeyd3wy
62,6161c792f4a68f52a28e008f,3RtapbUtHJgnVlZWahStUS,0.625,0.931,6,-1.885,0,0.151,0.138,0.0,0.309,0.863,154.061,199965,4,1,honeyd3wy
63,6161b980425e092516eb703e,6rIIhxmidzI07z1kgiOqY8,0.577,0.634,2,-6.905,1,0.0365,0.00339,0.000332,0.209,0.335,75.752,195515,4,0,honeyd3wy
64,6161b980425e092516eb7073,30MM5jWpUmOxtTNd9Ey5LZ,0.661,0.75,7,-5.497,1,0.0314,0.0303,0.000132,0.0849,0.828,130.077,157080,4,0,honeyd3wy
65,6161c792f4a68f52a28e009d,0cLXk75Pan3mhRlWqHiynh,0.407,0.494,8,-5.272,1,0.0343,0.744,1.62e-05,0.157,0.325,117.55,223547,4,1,honeyd3wy
66,6161b980425e092516eb7042,425bCdRNNdkcxYWrMuhr2Z,0.704,0.662,5,-4.656,1,0.024,0.581,0.0,0.148,0.624,107.993,248433,4,0,honeyd3wy
67,6161b3e6f7207f813e54c77f,6SpPr7K4YQ2wp8jU6uOTmQ,0.695,0.896,5,-1.24,1,0.0847,0.179,0.0,0.0626,0.508,119.959,181760,4,1,honeyd3wy
68,6161b3e6f7207f813e54c79f,3CVeGXpoPKJQ9JuhPp3mpL,0.613,0.912,8,-2.464,1,0.0366,0.152,0.0,0.111,0.734,112.005,209105,4,1,honeyd3wy
69,6161b980425e092516eb7026,472vIK1ldetTxRxG3ovaiY,0.748,0.551,11,-6.12,1,0.0349,0.235,0.0,0.119,0.66,103.953,144533,4,0,honeyd3wy
70,6161b3e6f7207f813e54c7aa,0q6boCcLaWYPIy2vOsksFg,0.782,0.808,0,-3.139,1,0.0362,0.0159,4.33e-05,0.331,0.42,120.021,197616,4,1,honeyd3wy
71,6161c792f4a68f52a28e0097,32ou07yoda0mO4lw9pPpzC,0.584,0.813,8,-4.809,1,0.171,0.288,3.68e-06,0.345,0.881,164.79,212109,4,1,honeyd3wy
72,6161b3e6f7207f813e54c788,2Pp9osgyIcw6o1avfDDDhH,0.592,0.961,4,-1.807,1,0.096,0.0423,0.0,0.0882,0.508,109.826,237077,4,1,honeyd3wy
73,6161b3e6f7207f813e54c7af,0m1f9KaRUnRBYSEkAH7pdj,0.482,0.656,0,-4.554,0,0.0399,0.499,0.000124,0.338,0.312,138.099,186067,4,1,honeyd3wy
74,6161b3e6f7207f813e54c7ac,3BPoSr2pO34Aan6alFfVto,0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018,208863,4,1,honeyd3wy
75,6161b3e6f7207f813e54c785,6tU92qp9bJWAW86IHUggUa,0.78,0.816,9,-3.724,1,0.141,0.203,0.0,0.364,0.674,130.014,199027,4,1,honeyd3wy
76,6161b3e6f7207f813e54c7a6,55kuHkT2CWhWKF6CoRDnJq,0.653,0.923,8,-2.163,0,0.0621,0.145,0.0,0.137,0.692,114.902,208053,4,1,honeyd3wy
77,6161b3e6f7207f813e54c792,3WfaJhCL4p2JbdffJjV6Va,0.699,0.907,9,-1.208,0,0.0544,0.0868,0.0,0.115,0.621,115.978,218994,4,1,honeyd3wy
78,6161b980425e092516eb7074,2ulBBx6YQ3qY3ci34RadtN,0.783,0.698,3,-8.268,1,0.0323,0.522,2.52e-06,0.0754,0.758,124.996,248200,4,0,honeyd3wy
79,6161b980425e092516eb7037,4SgbELGcdmMdVtSbpkSG6x,0.441,0.463,10,-8.041,1,0.0283,0.0697,0.00264,0.107,0.343,79.611,230000,3,0,honeyd3wy
80,6161b3e6f7207f813e54c7ad,5gklZRmeV20l6cRdHBZBwW,0.708,0.852,2,-4.398,1,0.0851,0.0525,0.00016,0.399,0.396,129.946,212991,4,1,honeyd3wy
